source_id,category,paper_id_guess,pdf_path,pdf_relative_path,pdf_exists,pdf_file_size_mb,markdown_expected_path,markdown_actual_path,markdown_exists,markdown_char_count,markdown_status,output_dir,legacy_output_dir,resolved_output_dir,output_dir_layout,has_output_dir,has_stage3,has_stage4a,has_final_dataset,has_link_aware_export,current_pipeline_status,recommended_next_action
fiber_process__002_pva作纺丝助剂制备莫来石_氧化铝长纤维,fiber_process,002_PVA作纺丝助剂制备莫来石-氧化铝长纤维,G:\paper\Sorted_Database\Fiber_Process\002_PVA作纺丝助剂制备莫来石-氧化铝长纤维.pdf,G:\paper\Sorted_Database\Fiber_Process\002_PVA作纺丝助剂制备莫来石-氧化铝长纤维.pdf,true,0.264,data\markdown\fiber_process\002_PVA作纺丝助剂制备莫来石-氧化铝长纤维.md,data\markdown\fiber_process\002_PVA作纺丝助剂制备莫来石-氧化铝长纤维.md,true,8808,exists_ok,data\outputs\fiber_process\002_PVA作纺丝助剂制备莫来石-氧化铝长纤维,data\outputs\002_PVA作纺丝助剂制备莫来石-氧化铝长纤维,data\outputs\fiber_process\002_PVA作纺丝助剂制备莫来石-氧化铝长纤维,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__004_sol_gel法制备新型多晶钇_铝石榴石纤维,fiber_process,004_Sol-Gel法制备新型多晶钇-铝石榴石纤维,G:\paper\Sorted_Database\Fiber_Process\004_Sol-Gel法制备新型多晶钇-铝石榴石纤维.pdf,G:\paper\Sorted_Database\Fiber_Process\004_Sol-Gel法制备新型多晶钇-铝石榴石纤维.pdf,true,1.315,data\markdown\fiber_process\004_Sol-Gel法制备新型多晶钇-铝石榴石纤维.md,data\markdown\fiber_process\004_Sol-Gel法制备新型多晶钇-铝石榴石纤维.md,true,10374,exists_ok,data\outputs\fiber_process\004_Sol-Gel法制备新型多晶钇-铝石榴石纤维,data\outputs\004_Sol-Gel法制备新型多晶钇-铝石榴石纤维,data\outputs\fiber_process\004_Sol-Gel法制备新型多晶钇-铝石榴石纤维,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__005_α_a12o3连续纤维的制备与表征,fiber_process,005_α-A12O3连续纤维的制备与表征,G:\paper\Sorted_Database\Fiber_Process\005_α-A12O3连续纤维的制备与表征.pdf,G:\paper\Sorted_Database\Fiber_Process\005_α-A12O3连续纤维的制备与表征.pdf,true,5.613,data\markdown\fiber_process\005_α-A12O3连续纤维的制备与表征.md,data\markdown\fiber_process\005_α-A12O3连续纤维的制备与表征.md,true,73772,exists_ok,data\outputs\fiber_process\005_α-A12O3连续纤维的制备与表征,data\outputs\005_α-A12O3连续纤维的制备与表征,data\outputs\fiber_process\005_α-A12O3连续纤维的制备与表征,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__009_含硅氧化物连续纤维的制备及其性质的研究,fiber_process,009_含硅氧化物连续纤维的制备及其性质的研究,G:\paper\Sorted_Database\Fiber_Process\009_含硅氧化物连续纤维的制备及其性质的研究.pdf,G:\paper\Sorted_Database\Fiber_Process\009_含硅氧化物连续纤维的制备及其性质的研究.pdf,true,7.11,data\markdown\fiber_process\009_含硅氧化物连续纤维的制备及其性质的研究.md,data\markdown\fiber_process\009_含硅氧化物连续纤维的制备及其性质的研究.md,true,67192,exists_ok,data\outputs\fiber_process\009_含硅氧化物连续纤维的制备及其性质的研究,data\outputs\009_含硅氧化物连续纤维的制备及其性质的研究,data\outputs\fiber_process\009_含硅氧化物连续纤维的制备及其性质的研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__010_含硼氧化铝基陶瓷连续纤维的制备及表征,fiber_process,010_含硼氧化铝基陶瓷连续纤维的制备及表征,G:\paper\Sorted_Database\Fiber_Process\010_含硼氧化铝基陶瓷连续纤维的制备及表征.pdf,G:\paper\Sorted_Database\Fiber_Process\010_含硼氧化铝基陶瓷连续纤维的制备及表征.pdf,true,9.34,data\markdown\fiber_process\010_含硼氧化铝基陶瓷连续纤维的制备及表征.md,data\markdown\fiber_process\010_含硼氧化铝基陶瓷连续纤维的制备及表征.md,true,63761,exists_ok,data\outputs\fiber_process\010_含硼氧化铝基陶瓷连续纤维的制备及表征,data\outputs\010_含硼氧化铝基陶瓷连续纤维的制备及表征,data\outputs\fiber_process\010_含硼氧化铝基陶瓷连续纤维的制备及表征,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__011_固相反应合成mgal_2o_4多孔纤维的研究_王昕悦,fiber_process,011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦,G:\paper\Sorted_Database\Fiber_Process\011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦.pdf,G:\paper\Sorted_Database\Fiber_Process\011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦.pdf,true,1.517,data\markdown\fiber_process\011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦.md,data\markdown\fiber_process\011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦.md,true,12502,exists_ok,data\outputs\fiber_process\011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦,data\outputs\011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦,data\outputs\fiber_process\011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__013_多孔莫来石纤维基隔热陶瓷的制备与性能研究,fiber_process,013_多孔莫来石纤维基隔热陶瓷的制备与性能研究,G:\paper\Sorted_Database\Fiber_Process\013_多孔莫来石纤维基隔热陶瓷的制备与性能研究.pdf,G:\paper\Sorted_Database\Fiber_Process\013_多孔莫来石纤维基隔热陶瓷的制备与性能研究.pdf,true,7.998,data\markdown\fiber_process\013_多孔莫来石纤维基隔热陶瓷的制备与性能研究.md,data\markdown\fiber_process\013_多孔莫来石纤维基隔热陶瓷的制备与性能研究.md,true,118240,exists_ok,data\outputs\fiber_process\013_多孔莫来石纤维基隔热陶瓷的制备与性能研究,data\outputs\013_多孔莫来石纤维基隔热陶瓷的制备与性能研究,data\outputs\fiber_process\013_多孔莫来石纤维基隔热陶瓷的制备与性能研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__014_多晶型氧化铝连续纤维的研制及性能,fiber_process,014_多晶型氧化铝连续纤维的研制及性能,G:\paper\Sorted_Database\Fiber_Process\014_多晶型氧化铝连续纤维的研制及性能.pdf,G:\paper\Sorted_Database\Fiber_Process\014_多晶型氧化铝连续纤维的研制及性能.pdf,true,19.185,data\markdown\fiber_process\014_多晶型氧化铝连续纤维的研制及性能.md,data\markdown\fiber_process\014_多晶型氧化铝连续纤维的研制及性能.md,true,126742,exists_ok,data\outputs\fiber_process\014_多晶型氧化铝连续纤维的研制及性能,data\outputs\014_多晶型氧化铝连续纤维的研制及性能,data\outputs\fiber_process\014_多晶型氧化铝连续纤维的研制及性能,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__015_多晶莫来石纤维的制备研究,fiber_process,015_多晶莫来石纤维的制备研究,G:\paper\Sorted_Database\Fiber_Process\015_多晶莫来石纤维的制备研究.pdf,G:\paper\Sorted_Database\Fiber_Process\015_多晶莫来石纤维的制备研究.pdf,true,0.386,data\markdown\fiber_process\015_多晶莫来石纤维的制备研究.md,data\markdown\fiber_process\015_多晶莫来石纤维的制备研究.md,true,10101,exists_ok,data\outputs\fiber_process\015_多晶莫来石纤维的制备研究,data\outputs\015_多晶莫来石纤维的制备研究,data\outputs\fiber_process\015_多晶莫来石纤维的制备研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__016_多晶莫来石纤维纺丝原液制备与可纺性研究,fiber_process,016_多晶莫来石纤维纺丝原液制备与可纺性研究,G:\paper\Sorted_Database\Fiber_Process\016_多晶莫来石纤维纺丝原液制备与可纺性研究.pdf,G:\paper\Sorted_Database\Fiber_Process\016_多晶莫来石纤维纺丝原液制备与可纺性研究.pdf,true,0.386,data\markdown\fiber_process\016_多晶莫来石纤维纺丝原液制备与可纺性研究.md,data\markdown\fiber_process\016_多晶莫来石纤维纺丝原液制备与可纺性研究.md,true,16778,exists_ok,data\outputs\fiber_process\016_多晶莫来石纤维纺丝原液制备与可纺性研究,data\outputs\016_多晶莫来石纤维纺丝原液制备与可纺性研究,data\outputs\fiber_process\016_多晶莫来石纤维纺丝原液制备与可纺性研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
