source_id,category,paper_id_guess,doi,title_guess,main_pdf_path,markdown_path,supplementary_detected,detection_method,supplementary_source,supplementary_url,supplementary_file_type,supplementary_local_path,download_status,needs_manual_download,confidence,detection_hits,evidence_strength,strong_evidence_hits,weak_evidence_hits,notes
fiber_process__002_pva作纺丝助剂制备莫来石_氧化铝长纤维,fiber_process,002_PVA作纺丝助剂制备莫来石-氧化铝长纤维,,PVA 作纺丝助剂制备莫来石-氧化铝长纤维*,G:\paper\Sorted_Database\Fiber_Process\002_PVA作纺丝助剂制备莫来石-氧化铝长纤维.pdf,data\markdown\fiber_process\002_PVA作纺丝助剂制备莫来石-氧化铝长纤维.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__004_sol_gel法制备新型多晶钇_铝石榴石纤维,fiber_process,004_Sol-Gel法制备新型多晶钇-铝石榴石纤维,,文章编号: 1000-324X(2002)03-0566-05,G:\paper\Sorted_Database\Fiber_Process\004_Sol-Gel法制备新型多晶钇-铝石榴石纤维.pdf,data\markdown\fiber_process\004_Sol-Gel法制备新型多晶钇-铝石榴石纤维.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__005_α_a12o3连续纤维的制备与表征,fiber_process,005_α-A12O3连续纤维的制备与表征,,摘要,G:\paper\Sorted_Database\Fiber_Process\005_α-A12O3连续纤维的制备与表征.pdf,data\markdown\fiber_process\005_α-A12O3连续纤维的制备与表征.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__009_含硅氧化物连续纤维的制备及其性质的研究,fiber_process,009_含硅氧化物连续纤维的制备及其性质的研究,,![](G:/paper/Al-gel-sol/alumina_sol_extractor/data/outputs/009_含硅氧化物连续纤维的制备及其性质的研究/figures_all/addb31d8cbab9a0845ade910d797a97af1b2fad64f6e110c195c481cc1b8a5bc.jpg),G:\paper\Sorted_Database\Fiber_Process\009_含硅氧化物连续纤维的制备及其性质的研究.pdf,data\markdown\fiber_process\009_含硅氧化物连续纤维的制备及其性质的研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__010_含硼氧化铝基陶瓷连续纤维的制备及表征,fiber_process,010_含硼氧化铝基陶瓷连续纤维的制备及表征,,![](G:/paper/Al-gel-sol/alumina_sol_extractor/data/outputs/010_含硼氧化铝基陶瓷连续纤维的制备及表征/figures_all/fda4cf82f5caf59ca991cef7dec362716520e7f6b0b887505394a850f81f10e8.jpg),G:\paper\Sorted_Database\Fiber_Process\010_含硼氧化铝基陶瓷连续纤维的制备及表征.pdf,data\markdown\fiber_process\010_含硼氧化铝基陶瓷连续纤维的制备及表征.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__011_固相反应合成mgal_2o_4多孔纤维的研究_王昕悦,fiber_process,011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦,10.3969/j.issn.1001-1935.2024.03.002,固相反应合成 MgAl2O4 多孔纤维的研究,G:\paper\Sorted_Database\Fiber_Process\011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦.pdf,data\markdown\fiber_process\011_固相反应合成MgAl_2O_4多孔纤维的研究_王昕悦.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__013_多孔莫来石纤维基隔热陶瓷的制备与性能研究,fiber_process,013_多孔莫来石纤维基隔热陶瓷的制备与性能研究,,多孔莫来石纤维基隔热陶瓷的制备与性能研究,G:\paper\Sorted_Database\Fiber_Process\013_多孔莫来石纤维基隔热陶瓷的制备与性能研究.pdf,data\markdown\fiber_process\013_多孔莫来石纤维基隔热陶瓷的制备与性能研究.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__014_多晶型氧化铝连续纤维的研制及性能,fiber_process,014_多晶型氧化铝连续纤维的研制及性能,,摘 要,G:\paper\Sorted_Database\Fiber_Process\014_多晶型氧化铝连续纤维的研制及性能.pdf,data\markdown\fiber_process\014_多晶型氧化铝连续纤维的研制及性能.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url; 附录
fiber_process__015_多晶莫来石纤维的制备研究,fiber_process,015_多晶莫来石纤维的制备研究,10.3969/j.issn.1001-9731.2015,多晶莫来石纤维的制备研究*,G:\paper\Sorted_Database\Fiber_Process\015_多晶莫来石纤维的制备研究.pdf,data\markdown\fiber_process\015_多晶莫来石纤维的制备研究.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,doi detected: 10.3969/j.issn.1001-9731.2015
fiber_process__016_多晶莫来石纤维纺丝原液制备与可纺性研究,fiber_process,016_多晶莫来石纤维纺丝原液制备与可纺性研究,,多晶莫来石纤维纺丝原液制备与可纺性研究,G:\paper\Sorted_Database\Fiber_Process\016_多晶莫来石纤维纺丝原液制备与可纺性研究.pdf,data\markdown\fiber_process\016_多晶莫来石纤维纺丝原液制备与可纺性研究.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
